geneid	name	type
NR_046237.1_Rattus_norvegicus_18S_ribosomal_RNA	18S rRNA	non-mt rRNA
NR_046238.1_Rattus_norvegicus_5.8S_ribosomal_RNA	5.8S rRNA	non-mt rRNA
NR_046246.1_Rattus_norvegicus_28S_ribosomal_RNA	28S rRNA	non-mt rRNA
NR_033176.2_Rattus_norvegicus_5S_ribosomal_RNA	5S rRNA	non-mt rRNA
KP233827.1_Rattus_norvegicus_12S_ribosomal_RNA	12S mt rRNA	mt rRNA
KP233827.1_Rattus_norvegicus_16S_ribosomal_RNA	16S mt rRNA	mt rRNA
