geneid	name	type
X03205.1_Homo_sapiens_18S_rRNA	18S rRNA	non-mt rRNA
NR_146147.1_Homo_sapiens_RNA_5.8S_rRNA	5.8S rRNA	non-mt rRNA
NR_146148.1_Homo_sapiens_28S_rRNA	28S rRNA	non-mt rRNA
NR_023376_Homo_sapiens_5S_rRNA	5S rRNA	non-mt rRNA
MTRNR1_12S_rRNA	12S mt rRNA	mt rRNA
MTRNR2_16S_rRNA	16S mt rRNA	mt rRNA
