geneid	name	type
NR_046235.3_Homo_sapiens_RNA_45S_pre-ribosomal_N5_(RNA45SN5)_ribosomal_RNA	45S rRNA	precursor rRNA
NR_023376_Homo_sapiens_5S_rRNA	5S rRNA	non-mt rRNA
MTRNR1_12S_rRNA	12S mt rRNA	mt rRNA
MTRNR2_16S_rRNA	16S mt rRNA	mt rRNA
